city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,timezone
Sullivan Gardens,Sullivan Gardens,TN,Tennessee,47163,Sullivan,36.4877,-82.5912,America/New_York
Kimball,Kimball,TN,Tennessee,47115,Marion,35.0469,-85.674,America/Chicago
Lake Bryan,Lake Bryan,TX,Texas,48041,Brazos,30.718,-96.4669,America/Chicago
Metlakatla,Metlakatla,AK,Alaska,2198,Prince of Wales-Hyder,55.1182,-131.5689,America/Metlakatla
Logan,Logan,IA,Iowa,19085,Harrison,41.6454,-95.7914,America/Chicago
Ravenna,Ravenna,MI,Michigan,26121,Muskegon,43.1888,-85.9415,America/Detroit
Jefferson Heights,Jefferson Heights,NY,New York,36039,Greene,42.2361,-73.8822,America/New_York
Cresson,Cresson,TX,Texas,48221,Hood,32.5299,-97.6154,America/Chicago
Bayard,Bayard,NE,Nebraska,31123,Morrill,41.7572,-103.323,America/Denver
Arbury Hills,Arbury Hills,IL,Illinois,17197,Will,41.5353,-87.8461,America/Chicago
Mathews,Mathews,LA,Louisiana,22057,Lafourche,29.6821,-90.5559,America/Chicago
St. Vincent College,St. Vincent College,PA,Pennsylvania,42129,Westmoreland,40.2914,-79.4054,America/New_York
Red Lake,Red Lake,MN,Minnesota,27007,Beltrami,47.8701,-95.0059,America/Chicago
Walford,Walford,IA,Iowa,19113,Linn,41.8799,-91.8306,America/Chicago
Crested Butte,Crested Butte,CO,Colorado,8051,Gunnison,38.8676,-106.9773,America/Denver
Onancock,Onancock,VA,Virginia,51001,Accomack,37.7102,-75.7434,America/New_York
Adwolf,Adwolf,VA,Virginia,51173,Smyth,36.7942,-81.5937,America/New_York
Elizabeth,Elizabeth,PA,Pennsylvania,42003,Allegheny,40.2715,-79.8872,America/New_York
Parrish,Parrish,AL,Alabama,1127,Walker,33.7323,-87.2802,America/Chicago
Ilwaco,Ilwaco,WA,Washington,53049,Pacific,46.31,-124.0417,America/Los_Angeles
Silver Lake,Silver Lake,NJ,New Jersey,34011,Cumberland,39.4675,-75.2408,America/New_York
McConnellstown,McConnellstown,PA,Pennsylvania,42061,Huntingdon,40.4643,-78.067,America/New_York
Otisville,Otisville,NY,New York,36071,Orange,41.4714,-74.5397,America/New_York
Troy,Troy,PA,Pennsylvania,42015,Bradford,41.7839,-76.7898,America/New_York
Strodes Mills,Strodes Mills,PA,Pennsylvania,42087,Mifflin,40.5488,-77.6751,America/New_York
